trait	uri	shortForm	trait_label_guess	trait_id_guess
"apolipoprotein A-IV measurement"	"http://www.ebi.ac.uk/efo/EFO_0007848"	"EFO_0007848"	"apolipoprotein A-IV measurement"	"EFO_0007848"
"brain physiology trait"	"http://purl.obolibrary.org/obo/OBA_VT0015058"	"OBA_VT0015058"	"brain physiology trait"	"OBA_VT0015058"
"solar lentigines measurement"	"http://www.ebi.ac.uk/efo/EFO_0007850"	"EFO_0007850"	"solar lentigines measurement"	"EFO_0007850"
"Bronchiolitis"	"http://purl.obolibrary.org/obo/HP_0011950"	"HP_0011950"	"Bronchiolitis"	"HP_0011950"
"neuroendocrine neoplasm"	"http://www.ebi.ac.uk/efo/EFO_1001901"	"EFO_1001901"	"neuroendocrine neoplasm"	"EFO_1001901"
"pulmonary neuroendocrine tumor"	"http://www.ebi.ac.uk/efo/EFO_0005220"	"EFO_0005220"	"pulmonary neuroendocrine tumor"	"EFO_0005220"
"pancreatic neuroendocrine tumor"	"http://www.ebi.ac.uk/efo/EFO_1000045"	"EFO_1000045"	"pancreatic neuroendocrine tumor"	"EFO_1000045"
"small intestine neuroendocrine tumor"	"http://www.ebi.ac.uk/efo/EFO_1001928"	"EFO_1001928"	"small intestine neuroendocrine tumor"	"EFO_1001928"
"wellbeing measurement"	"http://www.ebi.ac.uk/efo/EFO_0007869"	"EFO_0007869"	"wellbeing measurement"	"EFO_0007869"
"late-onset Alzheimer's disease"	"http://www.ebi.ac.uk/efo/EFO_1001870"	"EFO_1001870"	"late-onset Alzheimer's disease"	"EFO_1001870"
"disease recurrence"	"http://www.ebi.ac.uk/efo/EFO_0004952"	"EFO_0004952"	"disease recurrence"	"EFO_0004952"
"response to clopidogrel"	"http://purl.obolibrary.org/obo/GO_1903493"	"GO_1903493"	"response to clopidogrel"	"GO_1903493"
"Headache"	"http://purl.obolibrary.org/obo/HP_0002315"	"HP_0002315"	"Headache"	"HP_0002315"
"Cluster headache"	"http://purl.obolibrary.org/obo/HP_0012199"	"HP_0012199"	"Cluster headache"	"HP_0012199"
"response to norepinephrine-dopamine reuptake inhibitor"	"http://www.ebi.ac.uk/efo/EFO_0007870"	"EFO_0007870"	"response to norepinephrine-dopamine reuptake inhibitor"	"EFO_0007870"
"trait in response to escitalopram"	"http://purl.obolibrary.org/obo/OBA_2040055"	"OBA_2040055"	"trait in response to escitalopram"	"OBA_2040055"
"selective IgA deficiency disease"	"http://www.ebi.ac.uk/efo/EFO_1001929"	"EFO_1001929"	"selective IgA deficiency disease"	"EFO_1001929"
"idiopathic osteonecrosis of the femoral head"	"http://www.ebi.ac.uk/efo/EFO_1001930"	"EFO_1001930"	"idiopathic osteonecrosis of the femoral head"	"EFO_1001930"
"caffeine metabolite measurement"	"http://www.ebi.ac.uk/efo/EFO_0007872"	"EFO_0007872"	"caffeine metabolite measurement"	"EFO_0007872"
"cartilage thickness measurement"	"http://www.ebi.ac.uk/efo/EFO_0007873"	"EFO_0007873"	"cartilage thickness measurement"	"EFO_0007873"
"gut microbiome measurement"	"http://www.ebi.ac.uk/efo/EFO_0007874"	"EFO_0007874"	"gut microbiome measurement"	"EFO_0007874"
"excessive daytime sleepiness measurement"	"http://www.ebi.ac.uk/efo/EFO_0007875"	"EFO_0007875"	"excessive daytime sleepiness measurement"	"EFO_0007875"
"insomnia measurement"	"http://www.ebi.ac.uk/efo/EFO_0007876"	"EFO_0007876"	"insomnia measurement"	"EFO_0007876"
"sexual activity behaviour attribute"	"http://purl.obolibrary.org/obo/OBA_2045293"	"OBA_2045293"	"sexual activity behaviour attribute"	"OBA_2045293"
"alcohol consumption quality"	"http://purl.obolibrary.org/obo/OBA_1000840"	"OBA_1000840"	"alcohol consumption quality"	"OBA_1000840"
"petaloid toenail"	"http://www.ebi.ac.uk/efo/EFO_0007879"	"EFO_0007879"	"petaloid toenail"	"EFO_0007879"
"response to dendritic cell-based immunotherapy"	"http://www.ebi.ac.uk/efo/EFO_0007880"	"EFO_0007880"	"response to dendritic cell-based immunotherapy"	"EFO_0007880"
"oropharynx cancer"	"http://www.ebi.ac.uk/efo/EFO_1001931"	"EFO_1001931"	"oropharynx cancer"	"EFO_1001931"
"HIV infection"	"http://www.ebi.ac.uk/efo/EFO_0000764"	"EFO_0000764"	"HIV infection"	"EFO_0000764"
"hypopharynx cancer"	"http://www.ebi.ac.uk/efo/EFO_0007321"	"EFO_0007321"	"hypopharynx cancer"	"EFO_0007321"
"pharynx cancer"	"http://www.ebi.ac.uk/efo/EFO_0005577"	"EFO_0005577"	"pharynx cancer"	"EFO_0005577"
"oral cavity cancer"	"http://www.ebi.ac.uk/efo/EFO_0005570"	"EFO_0005570"	"oral cavity cancer"	"EFO_0005570"
"Sciatica"	"http://purl.obolibrary.org/obo/HP_0011868"	"HP_0011868"	"Sciatica"	"HP_0011868"
"job-related exhaustion measurement"	"http://www.ebi.ac.uk/efo/EFO_0007881"	"EFO_0007881"	"job-related exhaustion measurement"	"EFO_0007881"
"microbiome measurement"	"http://www.ebi.ac.uk/efo/EFO_0007882"	"EFO_0007882"	"microbiome measurement"	"EFO_0007882"
"taxonomic microbiome measurement"	"http://www.ebi.ac.uk/efo/EFO_0007883"	"EFO_0007883"	"taxonomic microbiome measurement"	"EFO_0007883"
"functional microbiome measurement"	"http://www.ebi.ac.uk/efo/EFO_0007884"	"EFO_0007884"	"functional microbiome measurement"	"EFO_0007884"
"cardioembolic stroke"	"http://www.ebi.ac.uk/efo/EFO_1001976"	"EFO_1001976"	"cardioembolic stroke"	"EFO_1001976"
"DDT metabolite measurement"	"http://www.ebi.ac.uk/efo/EFO_0007886"	"EFO_0007886"	"DDT metabolite measurement"	"EFO_0007886"
"JT interval"	"http://www.ebi.ac.uk/efo/EFO_0007885"	"EFO_0007885"	"JT interval"	"EFO_0007885"
"susceptibility to childhood ear infection measurement"	"http://www.ebi.ac.uk/efo/EFO_0007904"	"EFO_0007904"	"susceptibility to childhood ear infection measurement"	"EFO_0007904"
"joint hypermobility measurement"	"http://www.ebi.ac.uk/efo/EFO_0007905"	"EFO_0007905"	"joint hypermobility measurement"	"EFO_0007905"
"synophrys measurement"	"http://www.ebi.ac.uk/efo/EFO_0007906"	"EFO_0007906"	"synophrys measurement"	"EFO_0007906"
"systemic juvenile idiopathic arthritis"	"http://www.ebi.ac.uk/efo/EFO_1001999"	"EFO_1001999"	"systemic juvenile idiopathic arthritis"	"EFO_1001999"
"methadone dose measurement"	"http://www.ebi.ac.uk/efo/EFO_0007907"	"EFO_0007907"	"methadone dose measurement"	"EFO_0007907"
"traffic air pollution measurement"	"http://www.ebi.ac.uk/efo/EFO_0007908"	"EFO_0007908"	"traffic air pollution measurement"	"EFO_0007908"
"CHGA cleavage product measurement"	"http://www.ebi.ac.uk/efo/EFO_0007909"	"EFO_0007909"	"CHGA cleavage product measurement"	"EFO_0007909"
"CHGB cleavage product measurement"	"http://www.ebi.ac.uk/efo/EFO_0007910"	"EFO_0007910"	"CHGB cleavage product measurement"	"EFO_0007910"
"personality trait measurement"	"http://www.ebi.ac.uk/efo/EFO_0007911"	"EFO_0007911"	"personality trait measurement"	"EFO_0007911"
"conscientiousness measurement"	"http://www.ebi.ac.uk/efo/EFO_0007912"	"EFO_0007912"	"conscientiousness measurement"	"EFO_0007912"
"extraversion measurement"	"http://www.ebi.ac.uk/efo/EFO_0007913"	"EFO_0007913"	"extraversion measurement"	"EFO_0007913"
"openness measurement"	"http://www.ebi.ac.uk/efo/EFO_0007914"	"EFO_0007914"	"openness measurement"	"EFO_0007914"
"agreeableness measurement"	"http://www.ebi.ac.uk/efo/EFO_0007915"	"EFO_0007915"	"agreeableness measurement"	"EFO_0007915"
"response to tricyclic antidepressant"	"http://www.ebi.ac.uk/efo/EFO_0007916"	"EFO_0007916"	"response to tricyclic antidepressant"	"EFO_0007916"
"trait in response to tetracyclic antidepressant"	"http://purl.obolibrary.org/obo/OBA_2040089"	"OBA_2040089"	"trait in response to tetracyclic antidepressant"	"OBA_2040089"
"response to anti-tuberculosis drug"	"http://www.ebi.ac.uk/efo/EFO_0007918"	"EFO_0007918"	"response to anti-tuberculosis drug"	"EFO_0007918"
"trait in response to diclofenac"	"http://purl.obolibrary.org/obo/OBA_2040075"	"OBA_2040075"	"trait in response to diclofenac"	"OBA_2040075"
"response to fluoroquinolones"	"http://www.ebi.ac.uk/efo/EFO_0007920"	"EFO_0007920"	"response to fluoroquinolones"	"EFO_0007920"
"trait in response to nitrofurantoin"	"http://purl.obolibrary.org/obo/OBA_2040118"	"OBA_2040118"	"trait in response to nitrofurantoin"	"OBA_2040118"
"response to sulfonylurea"	"http://www.ebi.ac.uk/efo/EFO_0007922"	"EFO_0007922"	"response to sulfonylurea"	"EFO_0007922"
"trait in response to terbinafine"	"http://purl.obolibrary.org/obo/OBA_2040139"	"OBA_2040139"	"trait in response to terbinafine"	"OBA_2040139"
"Takotsubo cardiomyopathy"	"http://www.ebi.ac.uk/efo/EFO_1002000"	"EFO_1002000"	"Takotsubo cardiomyopathy"	"EFO_1002000"
"tonsillectomy risk measurement"	"http://www.ebi.ac.uk/efo/EFO_0007924"	"EFO_0007924"	"tonsillectomy risk measurement"	"EFO_0007924"
"radius bone mineral density"	"http://www.ebi.ac.uk/efo/EFO_0007933"	"EFO_0007933"	"radius bone mineral density"	"EFO_0007933"
"gingival bleeding"	"http://purl.obolibrary.org/obo/HP_0000225"	"HP_0000225"	"gingival bleeding"	"HP_0000225"
"tiredness measurement"	"http://www.ebi.ac.uk/efo/EFO_0007946"	"EFO_0007946"	"tiredness measurement"	"EFO_0007946"
"serum galactose-deficient IgA1 amount"	"http://purl.obolibrary.org/obo/OBA_2050057"	"OBA_2050057"	"serum galactose-deficient IgA1 amount"	"OBA_2050057"
"HIV-associated neurocognitive disorder"	"http://www.ebi.ac.uk/efo/EFO_0007948"	"EFO_0007948"	"HIV-associated neurocognitive disorder"	"EFO_0007948"
"acute-on-chronic liver failure"	"http://www.ebi.ac.uk/efo/EFO_0007949"	"EFO_0007949"	"acute-on-chronic liver failure"	"EFO_0007949"
"treatment-resistant hypertension"	"http://www.ebi.ac.uk/efo/EFO_1002006"	"EFO_1002006"	"treatment-resistant hypertension"	"EFO_1002006"
"Varicose veins"	"http://purl.obolibrary.org/obo/HP_0002619"	"HP_0002619"	"Varicose veins"	"HP_0002619"
"positive regulation of ovulation"	"http://purl.obolibrary.org/obo/GO_0060279"	"GO_0060279"	"positive regulation of ovulation"	"GO_0060279"
"craniofacial microsomia"	"http://purl.obolibrary.org/obo/MONDO_0015397"	"MONDO_0015397"	"craniofacial microsomia"	"MONDO_0015397"
"prolonged QT interval"	"http://purl.obolibrary.org/obo/HP_0001657"	"HP_0001657"	"prolonged QT interval"	"HP_0001657"
"red blood cell density"	"http://purl.obolibrary.org/obo/OBA_2045260"	"OBA_2045260"	"red blood cell density"	"OBA_2045260"
"childhood trauma measurement"	"http://www.ebi.ac.uk/efo/EFO_0007979"	"EFO_0007979"	"childhood trauma measurement"	"EFO_0007979"
"cerebral blood flow level"	"http://purl.obolibrary.org/obo/OBA_2045318"	"OBA_2045318"	"cerebral blood flow level"	"OBA_2045318"
"trait in response to thiazide"	"http://purl.obolibrary.org/obo/OBA_2040083"	"OBA_2040083"	"trait in response to thiazide"	"OBA_2040083"
"mild neurocognitive disorder"	"http://www.ebi.ac.uk/efo/EFO_0007982"	"EFO_0007982"	"mild neurocognitive disorder"	"EFO_0007982"
"asymptomatic neurocognitive impairment"	"http://www.ebi.ac.uk/efo/EFO_0007983"	"EFO_0007983"	"asymptomatic neurocognitive impairment"	"EFO_0007983"
"snoring measurement"	"http://www.ebi.ac.uk/efo/EFO_0008341"	"EFO_0008341"	"snoring measurement"	"EFO_0008341"
"parental emotion expression measurmement"	"http://www.ebi.ac.uk/efo/EFO_0008342"	"EFO_0008342"	"parental emotion expression measurmement"	"EFO_0008342"
"sex interaction measurement"	"http://www.ebi.ac.uk/efo/EFO_0008343"	"EFO_0008343"	"sex interaction measurement"	"EFO_0008343"
"response to placebo"	"http://www.ebi.ac.uk/efo/EFO_0008344"	"EFO_0008344"	"response to placebo"	"EFO_0008344"
"trait in response to duloxetine"	"http://purl.obolibrary.org/obo/OBA_2040056"	"OBA_2040056"	"trait in response to duloxetine"	"OBA_2040056"
"family history of upper gastrointestinal cancer"	"http://www.ebi.ac.uk/efo/EFO_0008346"	"EFO_0008346"	"family history of upper gastrointestinal cancer"	"EFO_0008346"
"response to trastuzumab"	"http://www.ebi.ac.uk/efo/EFO_0008347"	"EFO_0008347"	"response to trastuzumab"	"EFO_0008347"
"response to ranibizumab"	"http://www.ebi.ac.uk/efo/EFO_0008348"	"EFO_0008348"	"response to ranibizumab"	"EFO_0008348"
"thiazide-induced hyponatremia"	"http://www.ebi.ac.uk/efo/EFO_0008349"	"EFO_0008349"	"thiazide-induced hyponatremia"	"EFO_0008349"
"melancholia"	"http://www.ebi.ac.uk/efo/EFO_1002014"	"EFO_1002014"	"melancholia"	"EFO_1002014"
"HPV-associated cervical carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1002015"	"EFO_1002015"	"HPV-associated cervical carcinoma"	"EFO_1002015"
"differentiated thyroid carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1002017"	"EFO_1002017"	"differentiated thyroid carcinoma"	"EFO_1002017"
"visual acuity measurement"	"http://www.ebi.ac.uk/efo/EFO_0008385"	"EFO_0008385"	"visual acuity measurement"	"EFO_0008385"
"tumor necrosis factor receptor superfamily member 1B amount"	"http://purl.obolibrary.org/obo/OBA_2050309"	"OBA_2050309"	"tumor necrosis factor receptor superfamily member 1B amount"	"OBA_2050309"
"treatment outcome measurement"	"http://www.ebi.ac.uk/efo/EFO_0008383"	"EFO_0008383"	"treatment outcome measurement"	"EFO_0008383"
"TP53 mutation status"	"http://www.ebi.ac.uk/efo/EFO_0008382"	"EFO_0008382"	"TP53 mutation status"	"EFO_0008382"
"total cortical area measurement"	"http://www.ebi.ac.uk/efo/EFO_0008381"	"EFO_0008381"	"total cortical area measurement"	"EFO_0008381"
"perceived unattractiveness to mosquitos measurement"	"http://www.ebi.ac.uk/efo/EFO_0008380"	"EFO_0008380"	"perceived unattractiveness to mosquitos measurement"	"EFO_0008380"
"P wave terminal force measurement"	"http://www.ebi.ac.uk/efo/EFO_0008379"	"EFO_0008379"	"P wave terminal force measurement"	"EFO_0008379"
"mosquito bite reaction size measurement"	"http://www.ebi.ac.uk/efo/EFO_0008378"	"EFO_0008378"	"mosquito bite reaction size measurement"	"EFO_0008378"
"mosquito bite reaction itch intensity measurement"	"http://www.ebi.ac.uk/efo/EFO_0008377"	"EFO_0008377"	"mosquito bite reaction itch intensity measurement"	"EFO_0008377"
"mosquito bite measurement"	"http://www.ebi.ac.uk/efo/EFO_0008376"	"EFO_0008376"	"mosquito bite measurement"	"EFO_0008376"
"macula attribute"	"http://purl.obolibrary.org/obo/OBA_2045216"	"OBA_2045216"	"macula attribute"	"OBA_2045216"
"liver amyloid amount"	"http://purl.obolibrary.org/obo/OBA_2050210"	"OBA_2050210"	"liver amyloid amount"	"OBA_2050210"
"left ventricular ejection fraction measurement"	"http://www.ebi.ac.uk/efo/EFO_0008373"	"EFO_0008373"	"left ventricular ejection fraction measurement"	"EFO_0008373"
"laterality measurement"	"http://www.ebi.ac.uk/efo/EFO_0008372"	"EFO_0008372"	"laterality measurement"	"EFO_0008372"
"kidney amyloid amount"	"http://purl.obolibrary.org/obo/OBA_2050209"	"OBA_2050209"	"kidney amyloid amount"	"OBA_2050209"
"infant white matter volume measurement"	"http://www.ebi.ac.uk/efo/EFO_0008370"	"EFO_0008370"	"infant white matter volume measurement"	"EFO_0008370"
"infant intracranial volume measurement"	"http://www.ebi.ac.uk/efo/EFO_0008369"	"EFO_0008369"	"infant intracranial volume measurement"	"EFO_0008369"
"infant grey matter volume measurement"	"http://www.ebi.ac.uk/efo/EFO_0008368"	"EFO_0008368"	"infant grey matter volume measurement"	"EFO_0008368"
"IgG isotype profile measurement"	"http://www.ebi.ac.uk/efo/EFO_0008366"	"EFO_0008366"	"IgG isotype profile measurement"	"EFO_0008366"
"heart amyloid deposition"	"http://purl.obolibrary.org/obo/OBA_2045377"	"OBA_2045377"	"heart amyloid deposition"	"OBA_2045377"
"generational effect measurement"	"http://www.ebi.ac.uk/efo/EFO_0008364"	"EFO_0008364"	"generational effect measurement"	"EFO_0008364"
"gamma-linoleic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0008363"	"EFO_0008363"	"gamma-linoleic acid measurement"	"EFO_0008363"
"farm exposure measurement"	"http://www.ebi.ac.uk/efo/EFO_0008362"	"EFO_0008362"	"farm exposure measurement"	"EFO_0008362"
"environmental tobacco smoke exposure measurement"	"http://www.ebi.ac.uk/efo/EFO_0008361"	"EFO_0008361"	"environmental tobacco smoke exposure measurement"	"EFO_0008361"
"environmental exposure measurement"	"http://www.ebi.ac.uk/efo/EFO_0008360"	"EFO_0008360"	"environmental exposure measurement"	"EFO_0008360"
"eicosadienoic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0008359"	"EFO_0008359"	"eicosadienoic acid measurement"	"EFO_0008359"
"dorsolateral prefrontal cortex functionality attribute"	"http://purl.obolibrary.org/obo/OBA_2045277"	"OBA_2045277"	"dorsolateral prefrontal cortex functionality attribute"	"OBA_2045277"
"docosatetranoic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0008357"	"EFO_0008357"	"docosatetranoic acid measurement"	"EFO_0008357"
"dihomo-gamma-linoleic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0008356"	"EFO_0008356"	"dihomo-gamma-linoleic acid measurement"	"EFO_0008356"
"dietary heme iron intake measurement"	"http://www.ebi.ac.uk/efo/EFO_0008355"	"EFO_0008355"	"dietary heme iron intake measurement"	"EFO_0008355"
"cognitive function measurement"	"http://www.ebi.ac.uk/efo/EFO_0008354"	"EFO_0008354"	"cognitive function measurement"	"EFO_0008354"
"cellular adhesion molecule measurement"	"http://www.ebi.ac.uk/efo/EFO_0008353"	"EFO_0008353"	"cellular adhesion molecule measurement"	"EFO_0008353"
"C9orf72 mutation status"	"http://www.ebi.ac.uk/efo/EFO_0008352"	"EFO_0008352"	"C9orf72 mutation status"	"EFO_0008352"
"amyloid deposition measurement"	"http://www.ebi.ac.uk/efo/EFO_0008351"	"EFO_0008351"	"amyloid deposition measurement"	"EFO_0008351"
"alpha-linoleic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0008350"	"EFO_0008350"	"alpha-linoleic acid measurement"	"EFO_0008350"
"scarlet fever"	"http://www.ebi.ac.uk/efo/EFO_0007477"	"EFO_0007477"	"scarlet fever"	"EFO_0007477"
"hepatitis A virus infection"	"http://www.ebi.ac.uk/efo/EFO_0007305"	"EFO_0007305"	"hepatitis A virus infection"	"EFO_0007305"
"urinary tract infection"	"http://www.ebi.ac.uk/efo/EFO_0003103"	"EFO_0003103"	"urinary tract infection"	"EFO_0003103"
"limited scleroderma"	"http://www.ebi.ac.uk/efo/EFO_1001017"	"EFO_1001017"	"limited scleroderma"	"EFO_1001017"
"diffuse scleroderma"	"http://www.ebi.ac.uk/efo/EFO_0000404"	"EFO_0000404"	"diffuse scleroderma"	"EFO_0000404"
"oligoarticular juvenile idiopathic arthritis"	"http://www.ebi.ac.uk/efo/EFO_1002019"	"EFO_1002019"	"oligoarticular juvenile idiopathic arthritis"	"EFO_1002019"
"polyarticular juvenile idiopathic arthritis, rheumatoid factor negative"	"http://www.ebi.ac.uk/efo/EFO_1002020"	"EFO_1002020"	"polyarticular juvenile idiopathic arthritis, rheumatoid factor negative"	"EFO_1002020"
"non-alcoholic steatohepatitis"	"http://www.ebi.ac.uk/efo/EFO_1001249"	"EFO_1001249"	"non-alcoholic steatohepatitis"	"EFO_1001249"
"spinal stenosis"	"http://www.ebi.ac.uk/efo/EFO_0007490"	"EFO_0007490"	"spinal stenosis"	"EFO_0007490"
"ankle injury"	"http://www.ebi.ac.uk/efo/EFO_1002021"	"EFO_1002021"	"ankle injury"	"EFO_1002021"
"body odor measurement"	"http://www.ebi.ac.uk/efo/EFO_0008386"	"EFO_0008386"	"body odor measurement"	"EFO_0008386"
"caudate nucleus measurement"	"http://www.ebi.ac.uk/efo/EFO_0008387"	"EFO_0008387"	"caudate nucleus measurement"	"EFO_0008387"
"gamma wave measurement"	"http://www.ebi.ac.uk/efo/EFO_0008388"	"EFO_0008388"	"gamma wave measurement"	"EFO_0008388"
"putamen attribute"	"http://purl.obolibrary.org/obo/OBA_2045217"	"OBA_2045217"	"putamen attribute"	"OBA_2045217"
"prothrombin time measurement"	"http://www.ebi.ac.uk/efo/EFO_0008390"	"EFO_0008390"	"prothrombin time measurement"	"EFO_0008390"
"erythropoetin measurement"	"http://www.ebi.ac.uk/efo/EFO_0008391"	"EFO_0008391"	"erythropoetin measurement"	"EFO_0008391"
"triiodothyronine measurement"	"http://www.ebi.ac.uk/efo/EFO_0008392"	"EFO_0008392"	"triiodothyronine measurement"	"EFO_0008392"
"reaction time measurement"	"http://www.ebi.ac.uk/efo/EFO_0008393"	"EFO_0008393"	"reaction time measurement"	"EFO_0008393"
"verbal-numerical reasoning measurement"	"http://www.ebi.ac.uk/efo/EFO_0008394"	"EFO_0008394"	"verbal-numerical reasoning measurement"	"EFO_0008394"
"response to darapladib"	"http://www.ebi.ac.uk/efo/EFO_0008395"	"EFO_0008395"	"response to darapladib"	"EFO_0008395"
"response to reward"	"http://www.ebi.ac.uk/efo/EFO_0008396"	"EFO_0008396"	"response to reward"	"EFO_0008396"
"response to disappointment"	"http://www.ebi.ac.uk/efo/EFO_0008397"	"EFO_0008397"	"response to disappointment"	"EFO_0008397"
"appendicular lean mass"	"http://www.ebi.ac.uk/efo/EFO_0004980"	"EFO_0004980"	"appendicular lean mass"	"EFO_0004980"
"T wave morphology measurement"	"http://www.ebi.ac.uk/efo/EFO_0008398"	"EFO_0008398"	"T wave morphology measurement"	"EFO_0008398"
"mean fractional anisotropy measurement"	"http://www.ebi.ac.uk/efo/EFO_0008399"	"EFO_0008399"	"mean fractional anisotropy measurement"	"EFO_0008399"
"susceptibility to chickenpox measurement"	"http://www.ebi.ac.uk/efo/EFO_0008400"	"EFO_0008400"	"susceptibility to chickenpox measurement"	"EFO_0008400"
"susceptibility to shingles measurement"	"http://www.ebi.ac.uk/efo/EFO_0008401"	"EFO_0008401"	"susceptibility to shingles measurement"	"EFO_0008401"
"susceptibility to cold sores measurement"	"http://www.ebi.ac.uk/efo/EFO_0008402"	"EFO_0008402"	"susceptibility to cold sores measurement"	"EFO_0008402"
"susceptibility to mononucleosis measurement"	"http://www.ebi.ac.uk/efo/EFO_0008403"	"EFO_0008403"	"susceptibility to mononucleosis measurement"	"EFO_0008403"
"susceptibility to mumps measurement"	"http://www.ebi.ac.uk/efo/EFO_0008404"	"EFO_0008404"	"susceptibility to mumps measurement"	"EFO_0008404"
"susceptibility to hepatitis B infection measurement"	"http://www.ebi.ac.uk/efo/EFO_0008405"	"EFO_0008405"	"susceptibility to hepatitis B infection measurement"	"EFO_0008405"
"susceptibility to plantar warts measurement"	"http://www.ebi.ac.uk/efo/EFO_0008406"	"EFO_0008406"	"susceptibility to plantar warts measurement"	"EFO_0008406"
"susceptibility to Mycobacterium tuberculosis infection measurement"	"http://www.ebi.ac.uk/efo/EFO_0008407"	"EFO_0008407"	"susceptibility to Mycobacterium tuberculosis infection measurement"	"EFO_0008407"
"susceptibility to strep throat"	"http://purl.obolibrary.org/obo/OBA_2045257"	"OBA_2045257"	"susceptibility to strep throat"	"OBA_2045257"
"susceptibility to scarlet fever measurement"	"http://www.ebi.ac.uk/efo/EFO_0008409"	"EFO_0008409"	"susceptibility to scarlet fever measurement"	"EFO_0008409"
"susceptibility to pneumonia measurement"	"http://www.ebi.ac.uk/efo/EFO_0008410"	"EFO_0008410"	"susceptibility to pneumonia measurement"	"EFO_0008410"
"susceptibility to bacterial meningitis measurement"	"http://www.ebi.ac.uk/efo/EFO_0008411"	"EFO_0008411"	"susceptibility to bacterial meningitis measurement"	"EFO_0008411"
"susceptibility to vaginal yeast infection measurement"	"http://www.ebi.ac.uk/efo/EFO_0008412"	"EFO_0008412"	"susceptibility to vaginal yeast infection measurement"	"EFO_0008412"
"susceptibility to urinary tract infection"	"http://purl.obolibrary.org/obo/OBA_2045258"	"OBA_2045258"	"susceptibility to urinary tract infection"	"OBA_2045258"
"digestive system carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000218"	"EFO_1000218"	"digestive system carcinoma"	"EFO_1000218"
"allergen exposure measurement"	"http://www.ebi.ac.uk/efo/EFO_0007944"	"EFO_0007944"	"allergen exposure measurement"	"EFO_0007944"
"agoraphobia symptom measurement"	"http://www.ebi.ac.uk/efo/EFO_0007945"	"EFO_0007945"	"agoraphobia symptom measurement"	"EFO_0007945"
"Young adult-onset Parkinsonism"	"http://www.orpha.net/ORDO/Orphanet_2828"	"Orphanet_2828"	"Young adult-onset Parkinsonism"	"Orphanet_2828"
"bone fracture"	"http://www.ebi.ac.uk/efo/EFO_0003931"	"EFO_0003931"	"bone fracture"	"EFO_0003931"
"[Pyruvate dehydrogenase acetyl-transferring] kinase isozyme 1, mitochondrial measurement"	"http://www.ebi.ac.uk/efo/EFO_0008010"	"EFO_0008010"	"[Pyruvate dehydrogenase acetyl-transferring] kinase isozyme 1, mitochondrial measurement"	"EFO_0008010"
"1,5 anhydroglucitol measurement"	"http://www.ebi.ac.uk/efo/EFO_0008009"	"EFO_0008009"	"1,5 anhydroglucitol measurement"	"EFO_0008009"
"a disintegrin and metalloproteinase with thrombospondin motifs 13 measurement"	"http://www.ebi.ac.uk/efo/EFO_0008011"	"EFO_0008011"	"a disintegrin and metalloproteinase with thrombospondin motifs 13 measurement"	"EFO_0008011"
"Abelson tyrosine-protein kinase 2 measurement"	"http://www.ebi.ac.uk/efo/EFO_0008012"	"EFO_0008012"	"Abelson tyrosine-protein kinase 2 measurement"	"EFO_0008012"
"acid sphingomyelinase-like phosphodiesterase 3a measurement"	"http://www.ebi.ac.uk/efo/EFO_0008013"	"EFO_0008013"	"acid sphingomyelinase-like phosphodiesterase 3a measurement"	"EFO_0008013"
"ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 measurement"	"http://www.ebi.ac.uk/efo/EFO_0008014"	"EFO_0008014"	"ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 measurement"	"EFO_0008014"
"afamin measurement"	"http://www.ebi.ac.uk/efo/EFO_0008015"	"EFO_0008015"	"afamin measurement"	"EFO_0008015"
"age at assessment"	"http://www.ebi.ac.uk/efo/EFO_0008007"	"EFO_0008007"	"age at assessment"	"EFO_0008007"
"Agouti-related protein measurement"	"http://www.ebi.ac.uk/efo/EFO_0008016"	"EFO_0008016"	"Agouti-related protein measurement"	"EFO_0008016"
"alcohol dehydrogenase [NADP+] measurement"	"http://www.ebi.ac.uk/efo/EFO_0008017"	"EFO_0008017"	"alcohol dehydrogenase [NADP+] measurement"	"EFO_0008017"
"alcoholic pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_1002013"	"EFO_1002013"	"alcoholic pancreatitis"	"EFO_1002013"
"alpha-1-antichymotrypsin complex measurement"	"http://www.ebi.ac.uk/efo/EFO_0008018"	"EFO_0008018"	"alpha-1-antichymotrypsin complex measurement"	"EFO_0008018"
"alpha-1-antichymotrypsin measurement"	"http://www.ebi.ac.uk/efo/EFO_0008019"	"EFO_0008019"	"alpha-1-antichymotrypsin measurement"	"EFO_0008019"
"alpha-2-HS-glycoprotein measurement"	"http://www.ebi.ac.uk/efo/EFO_0008020"	"EFO_0008020"	"alpha-2-HS-glycoprotein measurement"	"EFO_0008020"
