relative_path	size_bytes
"10_scripts/孟德尔/46c_find_better_primary_outcome_source_via_gwas_catalog.R"	30289
"10_scripts/孟德尔/46c_find_better_primary_outcome_source_via_gwas_catalog.txt"	30289
"10_scripts/孟德尔/46d_prepare_controlled_access_primary_outcome_intake.R"	11601
"10_scripts/孟德尔/46d_prepare_controlled_access_primary_outcome_intake.txt"	11601
"10_scripts/第二验证集/22_create_gse57495_workspace.R"	1569
"10_scripts/第二验证集/23_download_gse57495_from_geo.R"	1788
"10_scripts/第二验证集/24_build_gse57495_expression_and_clinical_tables.R"	7115
"10_scripts/第二验证集/25_run_gse57495_external_validation.R"	11402
"10_scripts/第二验证集/25_run_gse57495_external_validation.txt"	11328
"10_scripts/第二验证集/26_gse57495_refinement_and_cross_external_summary.R"	8984
"10_scripts/药敏/66_initialize_drug_sensitivity_and_repositioning_module.R"	5951
"10_scripts/药敏/67_run_predicted_drug_sensitivity_analysis.R"	19848
"10_scripts/药敏/67_run_predicted_drug_sensitivity_analysis.txt"	19848
"10_scripts/药敏/68_drug_repositioning_and_biological_interpretation.R"	10482
"10_scripts/训练集/00_build_survival_ready_dataset.txt"	9709
"10_scripts/训练集/02_download_tcga_paad.R"	11289
"10_scripts/训练集/02_download_tcga_paad.txt"	11289
"10_scripts/训练集/03_build_tcga_paad_analysis_cohort.R"	9704
"10_scripts/训练集/03_build_tcga_paad_analysis_cohort.txt"	9704
"10_scripts/训练集/04_prepare_tcga_paad_expression_for_analysis.R"	6706
"10_scripts/训练集/04_prepare_tcga_paad_expression_for_analysis.txt"	6706
"10_scripts/训练集/05_clean_tcga_paad_gene_annotation_and_filter.R"	6824
"10_scripts/训练集/05_clean_tcga_paad_gene_annotation_and_filter.txt"	6824
"10_scripts/训练集/06A_create_metabolic_cell_death_starter_gene_lists.R"	8873
"10_scripts/训练集/06A_create_metabolic_cell_death_starter_gene_lists.txt"	8873
"10_scripts/训练集/06B_map_starter_gene_sets_to_tcga.R"	5120
"10_scripts/训练集/06B_map_starter_gene_sets_to_tcga.txt"	5120
"10_scripts/训练集/06C_freeze_metabolic_cell_death_gene_sets.R"	9204
"10_scripts/训练集/06C_freeze_metabolic_cell_death_gene_sets.txt"	9204
"10_scripts/训练集/07A_prepare_main_gene_matrix_for_clustering.R"	4094
"10_scripts/训练集/07A_prepare_main_gene_matrix_for_clustering.txt"	4094
"10_scripts/训练集/07B_run_consensus_clustering_main_genes.R"	6361
"10_scripts/训练集/07B_run_consensus_clustering_main_genes.txt"	6361
"10_scripts/训练集/07C_compare_k2_k3_k4_survival.R"	5392
"10_scripts/训练集/07C_compare_k2_k3_k4_survival.txt"	5392
"10_scripts/训练集/07D_k3_signature_score_comparison.R"	7536
"10_scripts/训练集/07D_k3_signature_score_comparison.txt"	7536
"10_scripts/训练集/07E_annotate_k3_subtypes_and_pairwise_scores.R"	4298
"10_scripts/训练集/07E_annotate_k3_subtypes_and_pairwise_scores.txt"	4298
"10_scripts/训练集/07F_mcd_subtype_clinical_comparison.R"	7048
"10_scripts/训练集/07F_mcd_subtype_clinical_comparison.txt"	7048
"10_scripts/训练集/08A_mcd_subtype_immune_checkpoint_comparison.R"	8253
"10_scripts/训练集/08A_mcd_subtype_immune_checkpoint_comparison.txt"	8253
"10_scripts/训练集/08B_mcd_subtype_estimate_analysis.R"	8659
"10_scripts/训练集/08B_mcd_subtype_estimate_analysis.txt"	8659
"10_scripts/训练集/08C_mcd_subtype_immune_function_ssgsea.R"	7853
"10_scripts/训练集/08C_mcd_subtype_immune_function_ssgsea.txt"	7853
"10_scripts/训练集/08D_mcd_subtype_mcpcounter_analysis.R"	6613
"10_scripts/训练集/08D_mcd_subtype_mcpcounter_analysis.txt"	6613
"10_scripts/训练集/08E_mcd_subtype_xcell_analysis.R"	10900
"10_scripts/训练集/08E_mcd_subtype_xcell_analysis.txt"	10900
"10_scripts/训练集/09A_mcd_subtype_deg_analysis.R"	7308
"10_scripts/训练集/09A_mcd_subtype_deg_analysis.txt"	7308
"10_scripts/训练集/09B_mcd_subtype_enrichment_analysis.R"	13887
"10_scripts/训练集/09B_mcd_subtype_enrichment_analysis.txt"	13887
"10_scripts/训练集/09C_mcd_leading_edge_analysis_fixed.R"	21181
"10_scripts/训练集/09C_mcd_leading_edge_analysis_fixed.txt"	21181
"10_scripts/训练集/09D_mcd_maintext_mechanism_integration.R"	14681
"10_scripts/训练集/09D_mcd_maintext_mechanism_integration.txt"	14681
"10_scripts/训练集/10_build_survival_ready_dataset.R"	10584
"10_scripts/训练集/11_mcd_subtype_km_cox.R"	8445
"10_scripts/训练集/12_prognostic_gene_screening.R"	6809
"10_scripts/训练集/12_prognostic_gene_screening.txt"	9297
"10_scripts/训练集/13_lasso_cox_model_train.R"	8189
"10_scripts/训练集/13_lasso_cox_model_train.txt"	7834
"10_scripts/训练集/14_internal_validation_and_clinical_independence.R"	8171
"10_scripts/训练集/15_compare_lambda_models_and_freeze_final_signature.R"	8791
"10_scripts/训练集/16_external_validation_prepare_and_apply_signature.R"	8909
"10_scripts/训练集/PAAD_metabolic_cell_death_project_handover.md"	15738
"10_scripts/验证集/16_create_external_validation_workspace.R"	2985
"10_scripts/验证集/17_download_gse21501_from_geo.R"	1880
"10_scripts/验证集/18_build_gse21501_expression_and_clinical_tables.R"	9462
"10_scripts/验证集/18_build_gse21501_expression_and_clinical_tables.txt"	10170
"10_scripts/验证集/19_check_signature_gene_coverage_and_run_gse21501_validation.R"	9284
"10_scripts/验证集/19_check_signature_gene_coverage_and_run_gse21501_validation.txt"	9242
"10_scripts/验证集/19a_build_train_gene_norm_params.R"	1846
"10_scripts/验证集/20_external_validation_refinement_and_publication_ready_interpretation.R"	5574
"10_scripts/验证集/21_build_publication_ready_result_summary_tables.R"	4197
